"Cluster","intercept","slope"
"Global",36.1314960280477,-1.11001642036125
"China",-4.4648293613811,-3.88998357963874
"India",-24.4648293613811,-5.55665024630541
"Spain",-6.13149602804776,-8.88998357963875
