"Cluster","intercept","slope"
"Global",29.6960167714885,-0.324399739954272
"Dominican Republic",-14.6960167714885,-4.67560026004573
"India",38.0817610062893,-13.0089335933791
"South Africa",-19.6960167714885,13.6577330732876
