"Cluster","intercept","slope"
"Global",33.3121200017752,-0.972085385878492
"China",-9.97878666844185,-12.3612479474548
"India",-9.97878666844184,-12.3612479474548
"Spain",-19.9787866684418,-9.02791461412151
